구분,2011,2012,2013,2014,2015,2016,2017
서울,2977599,2969184,2973877,3013541,3056588,3083007,3116256
부산,1159178,1175205,1183679,1214175,1255722,1295316,1333224
대구,985349,1010065,1039225,1072305,1106002,1130811,1157053
인천,983508,1049444,1142351,1247485,1355207,1437373,1510319
광주,535812,550821,568054,589334,611280,633375,649293
대전,584435,594786,606283,621035,632954,648084,659619
울산,456051,470410,485184,504604,525092,538720,549489
세종,,47580,52889,67881,93078,110360,129708
경기,4303774,4402396,4525170,4694527,4917091,5160921,5386022
강원,620463,630860,646532,667144,694040,722333,745959
충북,640303,653610,674138,699797,730069,760701,787188
충남,868688,855931,887190,924651,969224,1015203,1057572
전북,736698,755456,780844,807368,839181,869002,892118
전남,740903,766704,799385,841881,897655,952004,994318
경북,1142737,1172860,1210986,1255903,1307495,1353654,1392151
경남,1444721,1470733,1490651,1512207,1564192,1625244,1667809
제주,257154,294488,334426,384117,435015,467243,500197
