구별,소계,최근 증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율,CCTV비율,오차
강남구,3238,150.61919504643964,557865,552976,4889,65859,0.8763769012216217,11.805544352128203,0.5804271642780959,1553.2964124845876
양천구,2482,34.67173087357569,473087,469221,3866,56070,0.8171858453096364,11.85194266593671,0.5246392312619033,890.9187609864452
강서구,911,134.7938144329897,608361,601696,6665,77381,1.0955666125869343,12.719585903764377,0.14974661426357047,829.4675134154077
용산구,2096,53.216374269005854,245411,229909,15502,37238,6.3167502679179,15.173728968954123,0.8540774455912734,756.3467472270854
서초구,2297,63.37126600284495,445164,440954,4210,54055,0.9457188811314483,12.142715942888463,0.5159896128168495,736.7547896403105
송파구,1081,104.34782608695652,671994,665282,6712,77978,0.9988184418313258,11.603972654517749,0.16086453152855532,729.7389388113679
도봉구,825,246.6386554621849,345041,342861,2180,54293,0.6318089734263465,15.735231465246159,0.23910201975997056,624.6770157920953
중랑구,916,79.96070726915521,411552,406868,4684,59992,1.138130782987326,14.577015784153643,0.2225721172537128,607.1266845883285
광진구,878,53.22862129144852,371671,357149,14522,44470,3.9072190189710794,11.964882920647563,0.23623042960037235,601.0851539954556
강북구,831,125.20325203252031,327511,323862,3649,57002,1.1141610510792004,17.404606257499747,0.253731935721243,599.3182226000222
강동구,1010,166.49076517150397,438225,434027,4198,56983,0.9579553882138171,13.003137657595984,0.23047521250499173,542.582308707676
마포구,980,212.1019108280255,385624,374742,10882,50122,2.8219197975229755,12.997635001970831,0.2541335601518578,514.4937815715534
은평구,2108,85.23725834797891,490253,485902,4351,75535,0.8875009433904535,15.407350898413677,0.4299820704819757,497.9619415948239
관악구,2109,149.29078014184398,522292,504445,17847,70807,3.417054061712605,13.556975791319797,0.403797109662794,463.58051688969954
동대문구,1870,74.76635514018692,364962,349308,15654,56284,4.289213671560327,15.421879538143699,0.5123821110142973,398.32375322220673
종로구,1619,248.92241379310346,164348,154549,9799,26429,5.962348187991336,16.081120549078783,0.9851047776669019,368.8665334523571
구로구,1884,64.97373029772329,440396,408369,32027,59838,7.272318549668934,13.587316869363027,0.4277968010608634,329.0202046967738
영등포구,1277,157.97979797979798,403988,369128,34860,54704,8.628969177302297,13.540996267215858,0.31609849797518735,237.7735806690564
동작구,1302,139.33823529411765,406715,394353,12362,57711,3.039474816517709,14.189543046113373,0.3201258866774031,215.78507120155973
중구,1023,147.6997578692494,135139,126082,9057,21655,6.701988323133959,16.02424170668719,0.7569983498471944,194.87727770866627
서대문구,1254,48.5781990521327,324871,312311,12560,49645,3.866149948748888,15.281450175608164,0.38599936590215805,173.40280822312138
노원구,1566,188.929889298893,555803,551902,3901,75081,0.7018673882652666,13.508563285912453,0.28175450654278583,116.42647219527225
성동구,1327,81.78082191780823,314551,306532,8019,41752,2.5493481184291262,13.273523212452035,0.42187117510356037,89.00618838614514
성북구,1651,63.62735381565907,453902,442226,11676,66896,2.5723614348471697,14.73798308886059,0.36373490312886925,81.10520978221962
금천구,1348,100.0,253344,234238,19106,34640,7.541524567386635,13.673108500694708,0.5320828596690665,0.41385211077636086
