월,사고건수,사망자수,중상자수,경상자수,부상신고자수,교통사고발생건수,사고자발생비율,사망자발생비율,중상자발생비율,경상자발생비율,부상자발생비율
1.0,0.29527677496991567,0.4885057471264369,0.28907835972391416,0.29722355962124825,0.3780630105017502,0.30358570637800586,39.15218902015288,0.8825573314801947,16.168635626592543,39.71739634005096,4.079221681723419
2.0,0.0,0.0,0.0,0.0,0.0,0.0,39.072553224878384,0.774180049170895,16.39378563582152,40.00104618925563,3.758434900873568
3.0,0.5530986762936219,0.47126436781609216,0.5205034510759239,0.5259187931311184,0.4235705950991835,0.5339196752567807,39.68027283384845,0.8057124587019077,16.09293402962805,39.58435468400298,3.836725993818608
4.0,0.6689229843561972,0.33333333333333326,0.5883069427527405,0.7231584015406836,0.5565927654609104,0.6726735961621255,39.42567773687743,0.7199365479652641,15.694210001830347,40.267637428565614,3.8925382847613434
5.0,0.8429602888086642,0.5344827586206897,0.8347543645960211,0.8719306692344726,0.9054842473745626,0.8587243987945139,39.35742202467622,0.7452678366158326,15.947582190206147,39.709939458962374,4.239788489539428
6.0,0.5580625752105894,0.5402298850574712,0.4238733252131546,0.4824265767934519,0.49008168028004695,0.5088873854480593,40.09847768125914,0.838565408101832,15.722026318052809,39.34806914939365,3.9928614431925693
7.0,0.8030986762936219,0.3620689655172413,0.7060495330897281,0.7798106242978653,0.9474912485414237,0.7879943415954238,39.72495396309211,0.7032872311248678,15.685851976648513,39.48007679348039,4.405830035654116
8.0,0.7408243080625749,0.6264367816091954,0.6995533901745841,0.8115872251644998,0.9789964994165694,0.7782151423826802,39.03551005168314,0.7958810698213689,15.703421306031009,39.99253247391279,4.472655098551693
9.0,0.8832731648616123,0.5229885057471264,0.7657328461226149,0.8849301877708231,1.0,0.8745925333661355,39.674762649178334,0.7377893011019179,15.545048995310177,39.66904335227056,4.373355702139017
10.0,1.0,1.0000000000000002,1.0,0.9889263360616272,0.9474912485414237,1.0,39.614262382324334,0.8624961004165673,16.02224138880223,39.3738645330593,4.127135595397574
11.0,0.9372743682310469,0.6551724137931034,0.7681688997157936,0.9999999999999996,0.7596266044340725,0.9298849867765546,39.679118325117614,0.7684666279309504,15.294360204674526,40.344497966374895,3.913556875902011
12.0,0.6544825511432006,0.6091954022988506,0.430369468128299,0.6774193548387095,0.7666277712952159,0.6393382126822069,39.66768800509984,0.8266672150362953,15.069197392502417,40.130374879187315,4.306072508174135
