,시도,사고건수,사망자수,중상자수,경상자수,부상신고자수,교통사고발생건수,사고자발생비율,사망자발생비율,중상자발생비율,경상자발생비율,부상자발생비율,정 원,인 구,1인당 담당인구,지역
0,강원,0.15979243771223628,0.2555168408826945,0.1571220272512444,0.18848091101540254,0.09973793741328812,0.16917744400134174,36.92103736846465,0.9901400281713479,14.234816471952938,45.045157013837105,2.8088491175739505,4258,1541502.0,362.0,비수도권
1,경기,1.0,1.0,1.0,1.0,0.9543702790195776,1.0,39.052486411941274,0.648981909629269,14.897084743762766,40.81284984181065,4.588597092856037,23462,13239666.0,564.0,수도권
2,경남,0.2506963256896486,0.4494773519163763,0.3654784051485746,0.19306153733849185,0.21674117465700635,0.24435913681935076,39.963183730715286,1.18630201028518,22.14820009350164,32.50350631136045,4.1988078541374465,6961,3362553.0,483.0,비수도권
3,경북,0.2902819642107673,0.5667828106852497,0.3756850520388154,0.2568435652237389,0.22306150763064594,0.2884499273228728,39.243628391340096,1.26311069035103,19.3901193353098,36.420937243080296,3.6822043399187816,6528,2665836.0,408.0,비수도권
4,광주,0.13979930558205195,0.09059233449477352,0.06541304238523807,0.18399153222862985,0.05025435486357329,0.1424844396407141,38.25460913557426,0.4718587342511067,7.841611130028699,51.69528627718052,1.736634722965413,3437,1456468.0,424.0,비수도권
5,대구,0.2612079819909192,0.164924506387921,0.24229473578359897,0.23768158259726985,0.26252505010020044,0.2488166672878387,40.85922692550687,0.4623513870541612,14.73206593532824,38.966745161105045,4.979610591005686,5752,2438031.0,424.0,비수도권
6,대전,0.12142775382502195,0.09059233449477352,0.10463070038714868,0.1323636761807431,0.029597656852165876,0.11903395326301665,39.63586238584803,0.5571190626615358,13.738441215323649,44.7877778415944,1.2807994945723968,3222,1474870.0,458.0,비수도권
7,부산,0.2331451028272731,0.1846689895470383,0.27331690884408466,0.18351704503978392,0.2320024664714044,0.21897804778055235,41.39329634316493,0.5775657873389792,18.647587527174803,34.3976118628119,4.983938479509393,9058,3413841.0,377.0,비수도권
8,서울,0.7846350490289595,0.41463414634146345,0.7099904469807431,0.6781699394116358,1.0,0.7398531549327271,41.37660506271289,0.3733974199827205,14.332105226570802,37.44500829220335,6.472883998530245,28717,9729107.0,339.0,수도권
9,세종,0.0,0.0,0.0,0.0,0.0,0.0,37.17059639389736,1.3176144244105408,21.56726768377254,37.79472954230236,2.1497919556171983,546,340575.0,624.0,비수도권
10,울산,0.092182074859781,0.08710801393728224,0.0987480516868621,0.08195853711949777,0.09264683212579004,0.08917297156274458,40.04475941812756,0.701230883998508,16.971279373368144,37.568071615069,4.714658709436779,2474,1148019.0,464.0,비수도권
11,인천,0.1562631157236064,0.13588850174216027,0.16220021117200464,0.15382509672238848,0.0897178973331278,0.1531437516305766,39.6916359667076,0.6185473234183836,16.086778550961935,40.8150270614454,2.788011097466685,6446,2957026.0,459.0,수도권
12,전남,0.18856118127360832,0.45412311265969796,0.181054854442154,0.21766187312942548,0.09326344997687684,0.19684693078901272,37.41472172351885,1.4721723518850989,14.046678635547574,44.78276481149013,2.283662477558348,5464,1868745.0,342.0,비수도권
13,전북,0.15904841848220078,0.3356562137049942,0.1548594700588265,0.1801043871815461,0.039001079081239405,0.1627073161641385,38.130640309411255,1.3235926085088097,14.572410829394071,44.75290073055437,1.2204555221315,4954,1818917.0,367.0,비수도권
14,제주,0.0783891029798924,0.0859465737514518,0.07531801498315653,0.07237754580626322,0.12193618005241255,0.07780552346166747,39.0993265993266,0.7828282828282829,15.227272727272727,37.97138047138047,6.91919191919192,1769,670989.0,379.0,비수도권
15,충남,0.16950284253500708,0.4216027874564461,0.2235909296596109,0.1600664282064384,0.06320332973639588,0.17051917558048527,38.74085039888149,1.5708528661896537,19.56575376264496,38.30907146969323,1.8134715025906731,4627,2123709.0,459.0,비수도권
16,충북,0.16786218474569806,0.2543554006968641,0.1963899643018754,0.17473903204613475,0.08617234468937876,0.17187581528828594,38.102040816326536,0.9714285714285712,17.212244897959184,41.30612244897959,2.4081632653061225,3574,1600007.0,448.0,비수도권
