시도,사고건수,사망자수,중상자수,경상자수,부상신고자수,교통사고발생건수,사고자발생비율,사망자발생비율,중상자발생비율,경상자발생비율,부상자발생비율
강원,0.15979243771223628,0.25551684088269455,0.1571220272512444,0.18848091101540257,0.09973793741328812,0.16917744400134174,36.92103736846466,0.990140028171348,14.234816471952938,45.045157013837105,2.80884911757395
경기,1.0,1.0,1.0,1.0,0.9543702790195777,0.9999999999999999,39.05248641194127,0.648981909629269,14.897084743762768,40.81284984181066,4.588597092856037
경남,0.2506963256896486,0.44947735191637633,0.3654784051485746,0.19306153733849185,0.21674117465700635,0.24435913681935073,39.963183730715286,1.18630201028518,22.148200093501636,32.50350631136045,4.198807854137447
경북,0.2902819642107673,0.5667828106852497,0.3756850520388154,0.2568435652237389,0.22306150763064594,0.2884499273228728,39.24362839134009,1.26311069035103,19.390119335309798,36.420937243080296,3.682204339918782
광주,0.13979930558205197,0.09059233449477352,0.06541304238523807,0.18399153222862982,0.050254354863573304,0.1424844396407141,38.254609135574256,0.4718587342511067,7.8416111300287,51.69528627718052,1.7366347229654133
대구,0.26120798199091916,0.164924506387921,0.242294735783599,0.23768158259726985,0.26252505010020044,0.2488166672878387,40.85922692550687,0.4623513870541612,14.73206593532824,38.966745161105045,4.979610591005686
대전,0.12142775382502195,0.09059233449477352,0.10463070038714867,0.1323636761807431,0.029597656852165873,0.11903395326301665,39.63586238584803,0.5571190626615358,13.738441215323647,44.7877778415944,1.2807994945723968
부산,0.2331451028272731,0.1846689895470383,0.27331690884408466,0.18351704503978392,0.23200246647140438,0.21897804778055235,41.393296343164934,0.5775657873389792,18.647587527174796,34.3976118628119,4.983938479509393
서울,0.7846350490289595,0.41463414634146345,0.7099904469807431,0.6781699394116358,1.0,0.739853154932727,41.37660506271289,0.37339741998272047,14.332105226570802,37.44500829220334,6.472883998530245
세종,0.0,0.0,0.0,0.0,0.0,0.0,37.17059639389736,1.3176144244105408,21.56726768377254,37.794729542302356,2.1497919556171983
울산,0.09218207485978099,0.08710801393728224,0.0987480516868621,0.08195853711949777,0.09264683212579004,0.08917297156274458,40.04475941812756,0.701230883998508,16.971279373368144,37.568071615069,4.714658709436778
인천,0.1562631157236064,0.13588850174216027,0.16220021117200464,0.15382509672238848,0.0897178973331278,0.15314375163057659,39.6916359667076,0.6185473234183836,16.086778550961935,40.8150270614454,2.788011097466685
전남,0.18856118127360832,0.454123112659698,0.18105485444215397,0.21766187312942548,0.09326344997687684,0.19684693078901272,37.41472172351885,1.4721723518850987,14.046678635547577,44.782764811490125,2.283662477558348
전북,0.15904841848220078,0.3356562137049942,0.1548594700588265,0.1801043871815461,0.039001079081239405,0.1627073161641385,38.130640309411255,1.3235926085088097,14.57241082939407,44.752900730554366,1.2204555221314999
제주,0.0783891029798924,0.0859465737514518,0.07531801498315652,0.07237754580626322,0.12193618005241254,0.07780552346166747,39.0993265993266,0.7828282828282829,15.227272727272728,37.97138047138047,6.91919191919192
충남,0.16950284253500708,0.421602787456446,0.22359092965961086,0.1600664282064384,0.06320332973639588,0.17051917558048527,38.74085039888149,1.5708528661896537,19.565753762644956,38.30907146969323,1.8134715025906734
충북,0.16786218474569806,0.25435540069686413,0.1963899643018754,0.17473903204613475,0.08617234468937876,0.17187581528828594,38.102040816326536,0.9714285714285713,17.212244897959184,41.30612244897959,2.4081632653061225
